Time,eeeee,vell
0.106,1424,140.9
0.168,1425,140.9
0.246,1425,140.8
0.355,1425,140.9
0.39,1424,140.9
0.426,1425,140.9
0.461,1425,140.9
0.513,1425,140.8
0.556,1424,140.9
0.593,1425,140.9
0.631,1424,140.9
0.68,1425,140.8
0.719,1425,140.8
0.744,1424,142.5
0.779,1424,140.9
0.81,1424,140.9
0.857,1424,140.9
0.889,1505,140.8
0.927,1520,140.9
0.993,1520,142.5
1.046,1520,142.4
1.085,1537,140.8
1.149,1521,142.4
1.195,1520,140.9
1.238,1521,140.8
1.286,1521,140.8
1.356,1520,140.9
1.396,1520,140.9
1.438,1521,140.8
1.51,1520,140.9
1.557,1520,140.8
1.596,1520,139.3
1.633,1521,139.2
1.694,1520,140.9
1.746,1521,140.8
1.786,1521,140.8
1.878,1521,142.5
1.919,1520,140.9
1.954,1520,140.8
1.997,1520,139.2
2.054,1537,140.9
2.093,1521,140.8
2.161,1521,140.9
2.215,1520,140.9
2.246,1520,139.2
2.311,1521,140.9
2.353,1521,140.8
2.394,1521,140.9
2.466,1520,140.9
2.509,1521,140.9
2.563,1537,140.9
2.596,1537,140.9
2.66,1521,140.8
2.704,1520,140.9
2.77,1521,139.3
2.833,1521,139.3
2.869,1520,140.9
2.904,1520,139.3
2.971,1521,139.3
3.012,1521,139.2
3.072,1425,139.2
3.105,1425,139.2
3.17,1425,137.7
3.21,1424,139.2
3.269,1425,139.3
3.315,1425,139.3
3.392,1424,139.2
3.435,1409,139.3
3.473,1424,139.2
3.517,1424,139.3
3.575,1425,139.2
3.61,1425,139.2
3.68,1425,139.2
3.752,1425,139.3
3.795,1424,139.2
3.833,1425,139.2
3.908,1424,139.3
3.943,1424,139.2
4.007,1424,139.2
4.036,1424,139.3
4.094,1424,140.8
4.155,1425,139.2
4.196,1424,140.8
4.264,1425,140.8
4.3,1424,140.8
4.367,1424,140.8
4.414,1425,140.8
4.447,1424,142.5
4.504,1425,140.8
4.543,1425,140.9
4.622,1425,140.8
4.674,1425,140.8
4.719,1489,140.8
4.757,1520,140.8
4.798,1520,140.9
4.874,1521,140.9
4.927,1521,139.2
4.964,1521,139.2
4.999,1520,140.9
5.066,1521,140.8
5.106,1521,140.8
5.158,1520,140.8
5.219,1521,140.8
5.26,1521,140.9
5.327,1520,140.8
5.364,1520,142.5
5.418,1521,140.8
5.461,1520,140.9
5.524,1520,140.8
5.574,1521,140.8
5.613,1520,140.9
5.664,1520,140.8
5.707,1520,142.5
5.774,1521,140.8
5.813,1520,139.2
5.878,1520,140.8
5.916,1520,140.9
5.973,1521,140.8
6.035,1521,140.8
6.091,1520,140.9
6.146,1520,140.9
6.186,1520,140.9
6.243,1520,139.3
6.283,1521,140.9
6.332,1520,139.3
6.382,1520,140.8
6.435,1521,140.9
6.475,1536,140.9
6.524,1521,140.9
6.566,1536,140.8
6.654,1536,140.9
