Time,pressure
0.104,27.05
0.127,27.05
0.153,27.05
0.191,27.04
0.219,27.05
0.26,27.04
0.306,27.04
0.357,27.04
0.407,27.05
0.457,27.05
0.508,27.04
0.558,27.04
0.608,27.05
0.659,26.89
0.71,27.04
0.762,27.05
0.812,27.05
0.863,27.04
0.914,27.04
0.965,27.05
1.016,27.04
1.066,27.04
1.116,27.04
1.168,26.88
1.218,27.04
1.269,27.05
1.319,27.05
1.37,27.05
1.42,27.37
1.472,27.04
1.522,0.16
1.573,27.05
1.626,27.05
1.674,27.05
1.724,27.04
1.775,27.05
1.825,26.73
1.876,27.36
1.926,27.04
1.977,27.2
2.027,27.2
2.078,27.2
2.129,27.2
2.18,27.68
2.23,28.8
2.28,30.24
2.331,31.69
2.382,32.32
2.432,32.32
2.483,32.65
2.533,32.81
2.584,33.12
2.634,34.72
2.685,35.84
2.735,36.01
2.786,35.84
2.836,36.01
2.886,35.84
2.937,35.84
2.988,35.84
3.039,35.2
3.089,35.85
3.14,34.4
3.191,31.21
3.241,30.09
3.292,29.77
3.343,29.29
3.393,28.33
3.444,27.69
3.494,27.36
3.546,28.33
3.596,26.4
3.646,26.24
3.697,25.92
3.747,25.61
3.798,25.29
3.848,24.8
3.899,24.64
3.949,24.8
4,24.16
4.05,0
4.101,22.89
4.151,0.33
4.202,0.17
4.252,21.93
4.303,21.6
4.353,21.29
4.404,0.16
4.455,21.12
4.505,0.49
4.556,20.97
4.606,20.97
4.657,21.13
4.707,20.96
4.758,20.96
4.808,21.13
4.859,21.13
4.91,21.12
4.96,21.61
5.011,21.13
5.062,21.12
5.112,21.13
5.165,21.13
5.216,21.12
5.266,21.13
5.316,21.12
5.367,21.12
5.418,20.97
5.468,21.12
5.519,21.12
5.569,21.12
5.62,21.13
5.67,21.13
5.721,21.13
5.771,20.96
5.822,21.12
5.872,21.13
5.925,21.13
5.974,21.12
6.025,21.13
6.076,21.12
6.137,21.12
6.178,21.13
6.228,21.13
6.278,21.12
6.333,21.13
6.396,21.13
6.442,21.6
6.483,22.57
6.535,22.89
6.607,22.89
6.644,24.65
6.69,25.28
6.737,25.12
6.784,25.45
6.834,25.6
6.884,25.6
6.947,26.72
7.003,27.36
7.052,27.68
7.111,28.96
7.142,28.8
7.188,28.96
7.239,29.44
7.29,29.77
7.339,30.4
7.395,35.69
7.44,36.64
7.49,36.64
7.544,36.65
7.598,36.64
7.646,36.65
7.692,36.64
7.742,36.65
7.804,36.64
7.849,36.49
7.901,36.64
7.947,36.64
7.997,36.65
8.052,36.64
8.103,36.65
8.153,36.64
8.203,36.64
8.254,36.64
8.304,36.64
8.354,36.16
8.404,36.64
8.455,36.65
8.505,36.65
8.556,36.65
8.612,36.65
8.663,36.64
8.713,36.17
8.764,36.65
8.815,36.64
8.865,36.65
8.915,36.48
8.966,36.64
9.016,36.65
9.067,36.65
9.118,36.48
9.168,36.65
9.218,36.65
9.273,36.64
9.326,36.65
9.395,36.65
9.434,36.65
9.481,36.65
9.536,36.8
9.591,36.01
9.625,36.65
9.674,36.64
9.725,36.64
9.776,36.64
9.827,36.33
9.877,36.65
9.928,36.49
9.978,36.48
10.029,36.48
10.08,36.65
10.156,36.65
10.188,36.64
10.234,36.65
10.282,36.65
10.332,36.65
10.382,36.65
10.433,36.49
10.484,36.64
10.535,36.65
10.585,36.65
10.636,36.48
10.686,36.49
10.737,36.65
10.801,36.64
10.842,36.49
10.888,36.81
10.939,36.64
10.989,36.64
11.039,36.49
11.107,36.65
11.16,36.65
11.208,36.64
11.249,36.64
11.294,36.64
11.345,36.64
11.398,36.48
11.452,36.65
11.504,36.64
11.554,36.64
11.605,36.64
11.655,36.48
11.706,36.32
11.756,36.64
11.807,36.49
11.857,36.49
11.91,36.65
11.972,36.64
12.02,36.65
12.07,36.33
12.12,36.64
12.164,36.65
12.219,36.65
12.265,36.17
12.311,36.48
12.362,36.64
12.412,36.48
