Time,temp
0.111,0
0.313,2016
0.514,1888
0.716,1873
0.917,1857
1.122,1856
1.324,2049
1.533,2049
1.735,2049
1.937,2048
2.139,2049
2.341,2033
2.542,2033
2.743,2032
2.944,2032
3.147,2032
3.349,2032
3.55,2032
3.751,2033
3.953,2033
4.155,2032
4.358,2033
4.561,2032
4.763,2032
4.966,2033
5.167,2048
5.37,2048
5.571,2049
5.773,2048
5.975,1840
6.178,1840
6.381,1841
6.585,1841
6.788,1841
6.99,1825
7.193,1825
7.394,1825
7.595,1841
7.806,1840
8.011,1856
8.212,1856
8.414,1840
8.615,1840
8.816,1840
9.018,1857
9.221,1857
9.423,1856
9.628,1856
9.83,2016
10.043,2016
